app_id,classification,predict_class,Risk Score,Decision Criteria
1015617,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1016020,Fraud,Fraud,1,requested_amount > 50500.0
101613,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1016423,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1016826,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1017229,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1017632,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1018035,Fraud,Fraud,1,"requested_amount <= 50500.0, app_time <= 59.5"
1018438,Fraud,Fraud,1,requested_amount > 50500.0
1018841,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1019244,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1019647,Fraud,Fraud,1,requested_amount > 50500.0
1020050,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
102016,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1020453,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1020856,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1021259,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1021662,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1022065,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1022468,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1022871,Fraud,Fraud,1,requested_amount > 50500.0
1023274,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1023677,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1024080,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
102419,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1024483,Fraud,Fraud,1,requested_amount > 50500.0
1024886,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1025289,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1025692,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1026095,Fraud,Fraud,1,requested_amount > 50500.0
1026498,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1026901,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1027304,Fraud,Fraud,1,"requested_amount <= 50500.0, app_time <= 59.5"
1027707,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1028110,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
102822,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1028513,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1028916,Fraud,Fraud,1,requested_amount > 50500.0
1029319,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1029722,Fraud,Fraud,1,"requested_amount <= 50500.0, app_time <= 59.5"
1030125,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1030528,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1030931,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1031334,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1031737,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1032140,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
103225,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1032543,,Fraud,1,requested_amount > 50500.0
1032946,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1033349,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1033752,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1034155,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1034558,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1034961,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1035364,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1035767,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1036170,Fraud,Fraud,1,requested_amount > 50500.0
103628,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1036573,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1036976,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1037379,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1037782,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1038185,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1038588,Fraud,Fraud,1,requested_amount > 50500.0
1038991,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1039394,,Fraud,1,requested_amount > 50500.0
1039797,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1040200,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
104031,,Fraud,1,requested_amount > 50500.0
1040603,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1041006,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1041409,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1041812,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1042215,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1042618,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1043021,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1043424,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1043827,Fraud,Fraud,1,"requested_amount <= 50500.0, app_time <= 59.5"
1044230,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
104434,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1044633,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1045036,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1045439,Fraud,Fraud,1,requested_amount > 50500.0
1045842,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1046245,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1046648,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1047051,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1047454,Fraud,Fraud,1,requested_amount > 50500.0
1047857,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1048260,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
104837,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1048663,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1049066,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1049469,Fraud,Fraud,1,requested_amount > 50500.0
1049872,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1050275,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1050678,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1051081,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1051484,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1051887,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1052290,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
105240,Fraud,Fraud,1,requested_amount > 50500.0
1052693,Fraud,Fraud,1,requested_amount > 50500.0
1053096,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1053499,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1053902,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1054305,,Fraud,1,"requested_amount <= 50500.0, app_time <= 59.5"
1054708,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1055111,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1055514,Fraud,Fraud,1,requested_amount > 50500.0
1055917,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1056320,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
105643,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1056723,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1057126,Fraud,Fraud,1,requested_amount > 50500.0
1057529,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1057932,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1058335,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1058738,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1059141,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1059544,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1059947,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1060350,Fraud,Fraud,1,requested_amount > 50500.0
106046,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1060753,Fraud,Fraud,1,requested_amount > 50500.0
1061156,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1061559,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1061962,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1062365,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1062768,,Fraud,1,requested_amount > 50500.0
1063171,Fraud,Fraud,1,"requested_amount <= 50500.0, app_time <= 59.5"
1063574,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1063977,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1064380,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
106449,Fraud,Fraud,1,requested_amount > 50500.0
1064783,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1065186,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1065589,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1065992,Fraud,Fraud,1,requested_amount > 50500.0
1066395,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1066798,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1067201,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1067604,Fraud,Fraud,1,requested_amount > 50500.0
1068007,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1068410,Fraud,Fraud,1,requested_amount > 50500.0
106852,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1068813,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1069216,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1069619,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1070022,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1070425,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1070828,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1071231,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1071634,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1072037,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1072440,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
107255,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1072843,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1073246,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1073649,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1074052,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1074455,,Fraud,1,requested_amount > 50500.0
1074858,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1075261,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1075664,Fraud,Fraud,1,"requested_amount <= 50500.0, app_time <= 59.5"
1076067,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1076470,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
107658,Fraud,Fraud,1,requested_amount > 50500.0
1076873,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1077276,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1077679,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1078082,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1078485,Fraud,Fraud,1,requested_amount > 50500.0
1078888,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1079291,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1079694,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1080097,,Fraud,1,requested_amount > 50500.0
1080500,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
108061,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1080903,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1081306,Fraud,Fraud,1,requested_amount > 50500.0
1081709,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1082112,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1082515,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1082918,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1083321,,Fraud,1,requested_amount > 50500.0
1083724,Fraud,Fraud,1,"requested_amount <= 50500.0, app_time <= 59.5"
1084127,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1084530,,Fraud,1,"requested_amount <= 50500.0, app_time <= 59.5"
108464,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1084933,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1085336,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1085739,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1086142,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1086545,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1086948,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1087351,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1087754,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1088157,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1088560,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
108867,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1088963,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1089366,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1089769,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1090172,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1090575,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1090978,Fraud,Fraud,1,requested_amount > 50500.0
1091381,Fraud,Fraud,1,requested_amount > 50500.0
1091784,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1092187,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1092590,,Fraud,1,requested_amount > 50500.0
109270,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1092993,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1093396,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1093799,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1094202,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1094605,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1095008,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1095411,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1095814,,Fraud,1,"requested_amount <= 50500.0, app_time <= 59.5"
1096217,,Fraud,1,requested_amount > 50500.0
1096620,Fraud,Fraud,1,requested_amount > 50500.0
109673,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1097023,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1097426,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1097829,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1098232,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1098635,,Fraud,1,requested_amount > 50500.0
1099038,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1099441,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1099844,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1100247,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1100650,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
110076,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1101053,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1101456,Fraud,Fraud,1,requested_amount > 50500.0
1101859,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1102262,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1102665,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1103068,Fraud,Fraud,1,requested_amount > 50500.0
1103471,Fraud,Fraud,1,requested_amount > 50500.0
1103874,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1104277,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1104680,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
110479,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1105083,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1105486,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1105889,,Fraud,1,requested_amount > 50500.0
1106292,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1106695,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1107098,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1107501,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1107904,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1108307,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1108710,Fraud,Fraud,1,requested_amount > 50500.0
110882,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1109113,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1109516,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1109919,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1110322,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1110725,,Fraud,1,requested_amount > 50500.0
1111128,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1111531,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1111934,Fraud,Fraud,1,requested_amount > 50500.0
1112337,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1112740,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
111285,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1113143,Fraud,Fraud,1,requested_amount > 50500.0
1113546,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1113949,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1114352,Fraud,Fraud,1,"requested_amount <= 50500.0, app_time <= 59.5"
1114755,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1115158,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1115561,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1115964,Fraud,Fraud,1,requested_amount > 50500.0
1116367,Fraud,Fraud,1,requested_amount > 50500.0
1116770,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
111688,,Fraud,1,requested_amount > 50500.0
1117173,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1117576,Fraud,Fraud,1,requested_amount > 50500.0
1117979,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1118382,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1118785,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1119188,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1119591,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1119994,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1120397,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1120800,Fraud,Fraud,1,requested_amount > 50500.0
112091,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1121203,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1121606,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1122009,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1122412,,Fraud,1,requested_amount > 50500.0
1122815,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1123218,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1123621,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1124024,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1124427,,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
1124830,Not_Fraud,Not_Fraud,0,"requested_amount <= 50500.0, app_time > 59.5"
